,Country,Happiness Score,GDP per Capita,Social Support,Health/Life Expectancy,Freedom to Make Choices,Generosity,Perceptions of Gov’t Corruption,Year
0,Denmark,7.526,1.4417799999999998,1.16374,0.79504,0.5794100000000001,0.36171,0.44453,2016
1,Switzerland,7.508999999999999,1.52733,1.14524,0.86303,0.58557,0.28083,0.41203,2016
2,Iceland,7.501,1.42666,1.18326,0.8673299999999999,0.56624,0.47678,0.14975,2016
3,Norway,7.497999999999998,1.57744,1.1269,0.79579,0.59609,0.37895,0.35776,2016
4,Finland,7.4129999999999985,1.40598,1.13464,0.81091,0.57104,0.25492,0.41004,2016
5,Canada,7.404,1.44015,1.0961,0.8276,0.5737,0.44834,0.31329,2016
6,Netherlands,7.338999999999999,1.46468,1.02912,0.8123100000000001,0.55211,0.47416,0.29927,2016
7,New Zealand,7.334,1.36066,1.17278,0.83096,0.5814699999999999,0.4940100000000001,0.41904,2016
8,Australia,7.313,1.44443,1.10476,0.8512,0.5683699999999999,0.47407,0.32331,2016
9,Sweden,7.291,1.45181,1.08764,0.83121,0.58218,0.38254,0.40867,2016
10,Israel,7.267,1.33766,0.99537,0.8491700000000001,0.36432,0.32288,0.08728,2016
11,Austria,7.119,1.45038,1.0838299999999998,0.80565,0.54355,0.32865,0.21348000000000006,2016
12,United States,7.104,1.50796,1.04782,0.779,0.48163,0.41077,0.14868,2016
13,Costa Rica,7.0870000000000015,1.06879,1.02152,0.76146,0.55225,0.22553,0.10547,2016
15,Germany,6.994,1.44787,1.09774,0.81487,0.53466,0.30452,0.28551,2016
16,Brazil,6.952000000000001,1.08754,1.03938,0.61415,0.40425,0.15775999999999998,0.14165999999999998,2016
17,Belgium,6.9289999999999985,1.42539,1.05249,0.8195899999999999,0.51354,0.2424,0.26248,2016
18,Ireland,6.907,1.48341,1.16157,0.81455,0.54008,0.44963,0.29754,2016
19,Luxembourg,6.871,1.69752,1.03999,0.8454200000000001,0.5487,0.27571,0.35329,2016
20,Mexico,6.778,1.1150799999999998,0.7146,0.71143,0.37709,0.11735,0.18355,2016
21,Singapore,6.739,1.64555,0.8675799999999999,0.94719,0.4877,0.32706,0.46987,2016
22,United Kingdom,6.725,1.40283,1.08672,0.80991,0.50036,0.50156,0.27399,2016
23,Chile,6.705,1.2167,0.90587,0.8188300000000001,0.37789,0.31595,0.11451,2016
24,Panama,6.7010000000000005,1.18306,0.98912,0.70835,0.48927,0.2418,0.08423,2016
25,Argentina,6.65,1.15137,1.0661200000000002,0.69711,0.42284,0.10989000000000003,0.07296,2016
26,Czech Republic,6.596,1.30915,1.00793,0.76376,0.41418,0.09929,0.03986,2016
27,United Arab Emirates,6.573,1.57352,0.8711399999999999,0.72993,0.56215,0.26591,0.35561,2016
28,Uruguay,6.545,1.18157,1.0314299999999998,0.72183,0.54388,0.18056,0.21394,2016
29,Malta,6.488,1.30782,1.09879,0.80315,0.54994,0.56237,0.17554,2016
30,Colombia,6.481,1.03032,1.02169,0.59659,0.44735,0.15625999999999998,0.05399,2016
31,France,6.478,1.39488,1.00508,0.83795,0.46562,0.1216,0.17808,2016
32,Thailand,6.474,1.0893,1.04477,0.64915,0.49553,0.58696,0.02833,2016
33,Saudi Arabia,6.379,1.48953,0.84829,0.59267,0.37904,0.15457,0.30008,2016
36,Spain,6.3610000000000015,1.34253,1.12945,0.8789600000000001,0.37545,0.17665,0.061370000000000015,2016
37,Algeria,6.355,1.05266,0.83309,0.6180399999999999,0.21006,0.07044,0.16157,2016
38,Guatemala,6.324,0.83454,0.8711899999999999,0.5403899999999999,0.50379,0.28808,0.08701,2016
40,Kuwait,6.239,1.61714,0.8775799999999999,0.63569,0.43166,0.15965,0.23669,2016
41,Bahrain,6.218,1.44024,0.94397,0.65696,0.47375,0.17147,0.25772,2016
42,Trinidad and Tobago,6.167999999999998,1.32572,0.98569,0.52608,0.48453,0.31935,0.01241,2016
43,Venezuela,6.084,1.1336700000000002,1.03302,0.6190399999999999,0.19847,0.0425,0.08304,2016
44,Slovakia,6.0779999999999985,1.27973,1.08268,0.70367,0.23391,0.13837,0.02947,2016
45,El Salvador,6.068,0.8737,0.80975,0.596,0.37269,0.08877,0.10613,2016
46,Malaysia,6.005,1.25142,0.88025,0.62366,0.39031,0.41474,0.09081,2016
47,Nicaragua,5.992000000000001,0.69384,0.8952100000000001,0.65213,0.46582,0.29773,0.16292,2016
48,Uzbekistan,5.987,0.7359100000000001,1.1681,0.50163,0.60848,0.34326,0.28333,2016
49,Italy,5.977,1.35495,1.04167,0.8510200000000001,0.18827,0.16684000000000002,0.02556,2016
50,Ecuador,5.976,0.97306,0.85974,0.68613,0.4027,0.10074,0.18037,2016
